number_of_features,number_of_classes,T,s,number_of_clauses,number_of_states,epochs,Accuracy_on_test_data,Accuracy_on_training_data,Time
12,2,15,3.9,10,100,200,1,0.603,111.321047
12,2,15,3.9,10,100,200,1,0.603,111.0244845
