% T: 15
% s: 3.90
% clauses: 10
% states: 100
% epochs: 500
% time: 180.5348

% acc_test: 1.0000
% acc_train: 0.6030

1,0.505
2,0.5124
3,0.5454
4,0.532
5,0.5482
6,0.5452
7,0.5344
8,0.5482
9,0.5522
10,0.5744
11,0.5492
12,0.5712
13,0.5422
14,0.5566
15,0.558
16,0.5386
17,0.5358
18,0.5474
19,0.5576
20,0.5602
21,0.5486
22,0.5518
23,0.5514
24,0.5936
25,0.5764
26,0.5704
27,0.5726
28,0.5662
29,0.5526
30,0.5846
31,0.5878
32,0.5692
33,0.5966
34,0.5966
35,0.5682
36,0.5796
37,0.5858
38,0.5832
39,0.5882
40,0.5882
41,0.59
42,0.5966
43,0.5682
44,0.5966
45,0.5966
46,0.5758
47,0.5966
48,0.5876
49,0.5744
50,0.5918
51,0.588
52,0.6008
53,0.591
54,0.603
55,0.5938
56,0.5896
57,0.5848
58,0.5896
59,0.5966
60,0.5966
61,0.5776
62,0.5754
63,0.5698
64,0.594
65,0.579
66,0.5966
67,0.579
68,0.5966
69,0.6026
70,0.5966
71,0.5966
72,0.594
73,0.6026
74,0.5966
75,0.5966
76,0.5966
77,0.5966
78,0.603
79,0.579
80,0.5966
81,0.5966
82,0.593
83,0.593
84,0.5966
85,0.579
86,0.5966
87,0.603
88,0.5966
89,0.603
90,0.583
91,0.603
92,0.603
93,0.603
94,0.603
95,0.603
96,0.603
97,0.603
98,0.603
99,0.603
100,0.603
101,0.603
102,0.603
103,0.603
104,0.603
105,0.603
106,0.603
107,0.603
108,0.603
109,0.5826
110,0.603
111,0.603
112,0.603
113,0.603
114,0.603
115,0.603
116,0.603
117,0.603
118,0.603
119,0.603
120,0.603
121,0.603
122,0.603
123,0.603
124,0.603
125,0.603
126,0.583
127,0.603
128,0.603
129,0.603
130,0.603
131,0.603
132,0.5932
133,0.603
134,0.5926
135,0.603
136,0.603
137,0.603
138,0.583
139,0.603
140,0.603
141,0.603
142,0.603
143,0.603
144,0.603
145,0.603
146,0.603
147,0.603
148,0.603
149,0.603
150,0.603
151,0.603
152,0.603
153,0.603
154,0.603
155,0.603
156,0.603
157,0.603
158,0.603
159,0.603
160,0.603
161,0.603
162,0.5838
163,0.603
164,0.603
165,0.603
166,0.603
167,0.603
168,0.603
169,0.603
170,0.603
171,0.603
172,0.603
173,0.603
174,0.603
175,0.603
176,0.603
177,0.603
178,0.5808
179,0.603
180,0.603
181,0.5808
182,0.603
183,0.5794
184,0.603
185,0.603
186,0.603
187,0.603
188,0.603
189,0.5838
190,0.5838
191,0.5838
192,0.603
193,0.603
194,0.603
195,0.603
196,0.603
197,0.603
198,0.603
199,0.603
200,0.603
201,0.5838
202,0.603
203,0.603
204,0.603
205,0.603
206,0.603
207,0.603
208,0.603
209,0.603
210,0.603
211,0.603
212,0.603
213,0.603
214,0.603
215,0.5838
216,0.603
217,0.603
218,0.603
219,0.603
220,0.603
221,0.603
222,0.603
223,0.603
224,0.603
225,0.603
226,0.603
227,0.603
228,0.603
229,0.603
230,0.603
231,0.603
232,0.603
233,0.603
234,0.603
235,0.603
236,0.603
237,0.603
238,0.603
239,0.603
240,0.5838
241,0.603
242,0.5838
243,0.603
244,0.603
245,0.603
246,0.603
247,0.603
248,0.603
249,0.603
250,0.603
251,0.603
252,0.603
253,0.603
254,0.5838
255,0.603
256,0.603
257,0.603
258,0.603
259,0.603
260,0.603
261,0.603
262,0.603
263,0.603
264,0.603
265,0.603
266,0.603
267,0.603
268,0.603
269,0.603
270,0.603
271,0.603
272,0.603
273,0.603
274,0.603
275,0.603
276,0.603
277,0.5838
278,0.603
279,0.603
280,0.603
281,0.603
282,0.603
283,0.603
284,0.603
285,0.603
286,0.603
287,0.603
288,0.603
289,0.603
290,0.603
291,0.603
292,0.603
293,0.5838
294,0.603
295,0.603
296,0.603
297,0.603
298,0.603
299,0.5838
300,0.603
301,0.603
302,0.5838
303,0.603
304,0.603
305,0.603
306,0.603
307,0.603
308,0.5838
309,0.603
310,0.603
311,0.603
312,0.603
313,0.603
314,0.5838
315,0.603
316,0.603
317,0.583
318,0.603
319,0.603
320,0.603
321,0.603
322,0.603
323,0.603
324,0.603
325,0.603
326,0.603
327,0.603
328,0.603
329,0.603
330,0.603
331,0.594
332,0.603
333,0.603
334,0.603
335,0.603
336,0.603
337,0.603
338,0.603
339,0.603
340,0.603
341,0.603
342,0.603
343,0.603
344,0.603
345,0.603
346,0.603
347,0.603
348,0.603
349,0.603
350,0.603
351,0.603
352,0.603
353,0.603
354,0.603
355,0.603
356,0.603
357,0.603
358,0.603
359,0.603
360,0.603
361,0.603
362,0.603
363,0.603
364,0.603
365,0.603
366,0.603
367,0.603
368,0.603
369,0.603
370,0.603
371,0.603
372,0.603
373,0.603
374,0.603
375,0.603
376,0.603
377,0.603
378,0.603
379,0.603
380,0.603
381,0.603
382,0.603
383,0.603
384,0.603
385,0.603
386,0.603
387,0.603
388,0.603
389,0.603
390,0.603
391,0.603
392,0.603
393,0.603
394,0.603
395,0.603
396,0.603
397,0.603
398,0.603
399,0.603
400,0.603
401,0.603
402,0.603
403,0.603
404,0.603
405,0.603
406,0.603
407,0.603
408,0.603
409,0.603
410,0.603
411,0.603
412,0.603
413,0.603
414,0.603
415,0.603
416,0.603
417,0.5838
418,0.603
419,0.603
420,0.603
421,0.603
422,0.603
423,0.603
424,0.603
425,0.603
426,0.603
427,0.603
428,0.5826
429,0.603
430,0.603
431,0.603
432,0.5826
433,0.603
434,0.603
435,0.603
436,0.603
437,0.603
438,0.603
439,0.603
440,0.603
441,0.603
442,0.603
443,0.603
444,0.5826
445,0.603
446,0.603
447,0.603
448,0.603
449,0.603
450,0.603
451,0.603
452,0.603
453,0.603
454,0.603
455,0.603
456,0.5838
457,0.603
458,0.603
459,0.603
460,0.603
461,0.603
462,0.603
463,0.603
464,0.603
465,0.603
466,0.603
467,0.603
468,0.603
469,0.603
470,0.603
471,0.603
472,0.603
473,0.603
474,0.603
475,0.603
476,0.603
477,0.603
478,0.603
479,0.603
480,0.603
481,0.603
482,0.603
483,0.603
484,0.603
485,0.603
486,0.603
487,0.5838
488,0.603
489,0.5838
490,0.603
491,0.603
492,0.603
493,0.603
494,0.603
495,0.603
496,0.603
497,0.603
498,0.603
499,0.603
500,0.603
